BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	
   432	 1.800	    -0.093	     0.008	    -0.173	
   433	 1.804	    -0.092	     0.008	    -0.173	
   434	 1.808	    -0.093	     0.008	    -0.172	
   435	 1.813	    -0.093	     0.008	    -0.172	
   436	 1.817	    -0.092	     0.008	    -0.173	
   437	 1.821	    -0.093	     0.008	    -0.172	
   438	 1.825	    -0.093	     0.008	    -0.173	
   439	 1.829	    -0.093	     0.008	    -0.173	
   440	 1.833	    -0.093	     0.008	    -0.173	
   441	 1.837	    -0.092	     0.008	    -0.173	
   442	 1.842	    -0.093	     0.008	    -0.172	
   443	 1.846	    -0.092	     0.008	    -0.172	
   444	 1.850	    -0.092	     0.008	    -0.173	
   445	 1.854	    -0.092	     0.008	    -0.172	
   446	 1.858	    -0.093	     0.008	    -0.172	
   447	 1.862	    -0.092	     0.008	    -0.172	
   448	 1.867	    -0.092	     0.008	    -0.173	
   449	 1.871	    -0.093	     0.008	    -0.173	
   450	 1.875	    -0.092	     0.008	    -0.172	
   451	 1.879	    -0.092	     0.008	    -0.173	
   452	 1.883	    -0.093	     0.008	    -0.172	
   453	 1.888	    -0.093	     0.008	    -0.172	
   454	 1.892	    -0.093	     0.008	    -0.173	
   455	 1.896	    -0.093	     0.008	    -0.172	
   456	 1.900	    -0.093	     0.008	    -0.172	
   457	 1.904	    -0.093	     0.008	    -0.172	
   458	 1.908	    -0.093	     0.008	    -0.172	
   459	 1.913	    -0.093	     0.008	    -0.172	
   460	 1.917	    -0.093	     0.008	    -0.172	
   461	 1.921	    -0.093	     0.008	    -0.172	
   462	 1.925	    -0.093	     0.008	    -0.172	
   463	 1.929	    -0.092	     0.008	    -0.172	
   464	 1.933	    -0.092	     0.008	    -0.172	
   465	 1.938	    -0.093	     0.008	    -0.172	
   466	 1.942	    -0.093	     0.008	    -0.172	
   467	 1.946	    -0.093	     0.008	    -0.172	
   468	 1.950	    -0.093	     0.008	    -0.172	
   469	 1.954	    -0.093	     0.008	    -0.173	
   470	 1.958	    -0.092	     0.008	    -0.171	
   471	 1.962	    -0.093	     0.008	    -0.172	
   472	 1.967	    -0.093	     0.008	    -0.172	
   473	 1.971	    -0.092	     0.008	    -0.171	
   474	 1.975	    -0.093	     0.008	    -0.171	
   475	 1.979	    -0.093	     0.008	    -0.172	
   476	 1.983	    -0.093	     0.008	    -0.172	
   477	 1.987	    -0.092	     0.008	    -0.172	
   478	 1.992	    -0.093	     0.008	    -0.173	
   479	 1.996	    -0.093	     0.008	    -0.172	
   480	 2.000	    -0.093	     0.008	    -0.172	
   481	 2.004	    -0.093	     0.008	    -0.172	
   482	 2.008	    -0.093	     0.008	    -0.172	
   483	 2.013	    -0.093	     0.008	    -0.171	
   484	 2.017	    -0.093	     0.008	    -0.171	
   485	 2.021	    -0.093	     0.008	    -0.172	
   486	 2.025	    -0.093	     0.008	    -0.172	
   487	 2.029	    -0.093	     0.008	    -0.172	
   488	 2.033	    -0.093	     0.008	    -0.172	
   489	 2.037	    -0.092	     0.008	    -0.172	
   490	 2.042	    -0.093	     0.008	    -0.172	
   491	 2.046	    -0.092	     0.008	    -0.171	
   492	 2.050	    -0.093	     0.008	    -0.172	
   493	 2.054	    -0.092	     0.008	    -0.172	
   494	 2.058	    -0.093	     0.008	    -0.171	
   495	 2.063	    -0.093	     0.008	    -0.172	
   496	 2.067	    -0.093	     0.008	    -0.171	
   497	 2.071	    -0.093	     0.008	    -0.172	
   498	 2.075	    -0.093	     0.008	    -0.173	
   499	 2.079	    -0.093	     0.008	    -0.172	
   500	 2.083	    -0.093	     0.008	    -0.171	
   501	 2.088	    -0.092	     0.008	    -0.171	
   502	 2.092	    -0.093	     0.008	    -0.172	
   503	 2.096	    -0.092	     0.008	    -0.171	
   504	 2.100	    -0.093	     0.008	    -0.171	
   505	 2.104	    -0.092	     0.008	    -0.172	
   506	 2.108	    -0.093	     0.008	    -0.172	
   507	 2.112	    -0.093	     0.008	    -0.172	
   508	 2.117	    -0.093	     0.008	    -0.171	
